Dunseith,North Dakota,3422,US-Canada Border,2019,Personal Vehicles,4683,48.999,-100.052,POINT (-100.052166 48.999277)
Skagway,Alaska,3103,US-Canada Border,2022,Truck Containers Loaded,4,59.630,-135.164,POINT (-135.164444 59.629722)
Eastport,Maine,0103,US-Canada Border,2021,Personal Vehicles,4147,44.859,-66.980,POINT (-66.98007566 44.8594395785)
Madawaska,Maine,0109,US-Canada Border,2020,Pedestrians,52,47.360,-68.329,POINT (-68.328684 47.360052)
Jackman,Maine,0104,US-Canada Border,2021,Truck Containers Empty,3547,45.806,-70.397,POINT (-70.396722 45.805661)
Danville,Washington,3012,US-Canada Border,2019,Truck Containers Empty,35,49.000,-118.504,POINT (-118.503722 49.000083)
Eastport,Idaho,3302,US-Canada Border,2019,Personal Vehicle Passengers,20311,49.001,-116.181,POINT (-116.181027 49.000555)
Del Rio,Texas,2302,US-Mexico Border,2022,Truck Containers Empty,1642,29.327,-100.928,POINT (-100.927612 29.326784)
Sweetgrass,Montana,3310,US-Canada Border,2020,Trucks,10930,48.998,-111.960,POINT (-111.959611 48.998388)
Alexandria Bay,New York,0708,US-Canada Border,2019,Trucks,16803,44.347,-75.984,POINT (-75.983592 44.347229)
Santa Teresa,New Mexico,2408,US-Mexico Border,2019,Bus Passengers,103,31.784,-106.679,POINT (-106.679437 31.783939)
Carbury,North Dakota,3421,US-Canada Border,2022,Personal Vehicles,425,48.999,-100.556,POINT (-100.555805 48.999416)
Oroville,Washington,3019,US-Canada Border,2021,Trucks,2377,49.000,-119.462,POINT (-119.461833 49.000083)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2022,Bus Passengers,588,46.509,-84.361,POINT (-84.360833 46.508611)
Eastport,Idaho,3302,US-Canada Border,2019,Truck Containers Empty,537,49.001,-116.181,POINT (-116.181027 49.000555)
Vanceboro,Maine,0105,US-Canada Border,2022,Personal Vehicle Passengers,1286,45.569,-67.429,POINT (-67.428541 45.568761)
Roma,Texas,2310,US-Mexico Border,2010,Bus Passengers,1487,26.404,-99.019,POINT (-99.018981 26.403928)
Hidalgo,Texas,2305,US-Mexico Border,2020,Personal Vehicles,332449,26.095,-98.271,POINT (-98.271092 26.095032)
Presidio,Texas,2403,US-Mexico Border,2019,Truck Containers Empty,165,29.562,-104.395,POINT (-104.394907 29.561827)
Champlain Rouses Point,New York,0712,US-Canada Border,2022,Personal Vehicles,25321,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Point Roberts,Washington,3017,US-Canada Border,2019,Truck Containers Loaded,391,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Maida,North Dakota,3416,US-Canada Border,2019,Truck Containers Empty,64,49.000,-98.365,POINT (-98.36525 49.00025)
Portal,North Dakota,3403,US-Canada Border,2022,Trucks,8801,48.999,-102.552,POINT (-102.551944 48.998944)
Sherwood,North Dakota,3414,US-Canada Border,1999,Trucks,241,48.999,-101.628,POINT (-101.627527 48.999305)
Warroad,Minnesota,3423,US-Canada Border,2020,Personal Vehicles,1187,48.999,-95.377,POINT (-95.376555 48.999)
Madawaska,Maine,0109,US-Canada Border,2022,Trucks,116,47.360,-68.329,POINT (-68.328684 47.360052)
Houlton,Maine,0106,US-Canada Border,2020,Pedestrians,128,46.135,-67.781,POINT (-67.781288 46.134879)
Laredo,Texas,2304,US-Mexico Border,2021,Bus Passengers,61766,27.500,-99.507,POINT (-99.507412 27.499561)
Progreso,Texas,2309,US-Mexico Border,2020,Personal Vehicles,59587,26.062,-97.950,POINT (-97.949958 26.062133)
Calexico East,California,2507,US-Mexico Border,2020,Trains,20,32.673,-115.388,POINT (-115.388018 32.673389)
Westhope,North Dakota,3419,US-Canada Border,2019,Personal Vehicles,1059,49.000,-101.017,POINT (-101.017277 48.999611)
Ferry,Washington,3013,US-Canada Border,2019,Personal Vehicles,1109,49.000,-118.761,POINT (-118.761166 49.000083)
Hansboro,North Dakota,3415,US-Canada Border,2022,Trucks,100,49.000,-99.347,POINT (-99.346527 48.999583)
Roosville,Montana,3318,US-Canada Border,2020,Truck Containers Loaded,476,49.000,-115.056,POINT (-115.056027 48.999638)
Sweetgrass,Montana,3310,US-Canada Border,2020,Trains,28,48.998,-111.960,POINT (-111.959611 48.998388)
Houlton,Maine,0106,US-Canada Border,2022,Personal Vehicles,14296,46.135,-67.781,POINT (-67.781288 46.134879)
Metaline Falls,Washington,3025,US-Canada Border,2020,Truck Containers Empty,236,49.000,-117.299,POINT (-117.299444 48.999972)
Nogales,Arizona,2604,US-Mexico Border,2022,Rail Containers Empty,3467,31.333,-110.943,POINT (-110.942516 31.332839)
Calais,Maine,0115,US-Canada Border,2021,Personal Vehicle Passengers,3833,45.189,-67.275,POINT (-67.275381 45.188548)
Boundary,Washington,3015,US-Canada Border,2019,Trucks,25,49.001,-117.628,POINT (-117.627583 49.00075)
Roma,Texas,2310,US-Mexico Border,2021,Pedestrians,72821,26.404,-99.019,POINT (-99.018981 26.403928)
Champlain Rouses Point,New York,0712,US-Canada Border,2019,Truck Containers Loaded,24999,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Buffalo Niagara Falls,New York,0901,US-Canada Border,2020,Personal Vehicles,26797,43.095,-79.056,POINT (-79.055847 43.09549)
Brownsville,Texas,2301,US-Mexico Border,2021,Truck Containers Empty,16128,25.952,-97.401,POINT (-97.40067 25.95155)
Columbus,New Mexico,2406,US-Mexico Border,2022,Personal Vehicles,28791,31.784,-107.628,POINT (-107.627948 31.783742)
Pembina,North Dakota,3401,US-Canada Border,2022,Truck Containers Loaded,15997,49.000,-97.237,POINT (-97.237036 49.000453)
Roma,Texas,2310,US-Mexico Border,2003,Buses,179,26.404,-99.019,POINT (-99.018981 26.403928)
Otay Mesa,California,2506,US-Mexico Border,2020,Trains,13,32.550,-116.939,POINT (-116.938538 32.55033)
Sweetgrass,Montana,3310,US-Canada Border,2021,Trains,38,48.998,-111.960,POINT (-111.959611 48.998388)
Douglas,Arizona,2601,US-Mexico Border,2021,Personal Vehicle Passengers,114575,31.334,-109.560,POINT (-109.560344 31.334043)
Richford,Vermont,0203,US-Canada Border,2022,Rail Containers Loaded,34,45.012,-72.589,POINT (-72.588559 45.01174)
Calexico East,California,2507,US-Mexico Border,2022,Personal Vehicle Passengers,327802,32.673,-115.388,POINT (-115.388018 32.673389)
Trout River,New York,0715,US-Canada Border,2021,Truck Containers Loaded,458,44.992,-74.308,POINT (-74.308172 44.992058)
Wildhorse,Montana,3323,US-Canada Border,2005,Buses,1,48.999,-110.215,POINT (-110.215083 48.999361)
Columbus,New Mexico,2406,US-Mexico Border,2021,Pedestrians,8320,31.784,-107.628,POINT (-107.627948 31.783742)
Portal,North Dakota,3403,US-Canada Border,2019,Rail Containers Empty,6769,48.999,-102.552,POINT (-102.551944 48.998944)
Richford,Vermont,0203,US-Canada Border,2020,Personal Vehicles,3756,45.012,-72.589,POINT (-72.588559 45.01174)
Grand Portage,Minnesota,3613,US-Canada Border,2019,Trucks,1051,48.001,-89.585,POINT (-89.58515 48.001427)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020,Trains,31,46.509,-84.361,POINT (-84.360833 46.508611)
Nogales,Arizona,2604,US-Mexico Border,2021,Bus Passengers,21794,31.333,-110.943,POINT (-110.942516 31.332839)
Eagle Pass,Texas,2303,US-Mexico Border,2019,Personal Vehicle Passengers,485232,28.705,-100.512,POINT (-100.511977 28.705483)
Roseau,Minnesota,3426,US-Canada Border,2019,Truck Containers Empty,182,49.000,-95.766,POINT (-95.766469 48.999538)
Noonan,North Dakota,3420,US-Canada Border,2022,Trucks,69,48.999,-103.004,POINT (-103.004361 48.999333)
Pembina,North Dakota,3401,US-Canada Border,2020,Trucks,19263,49.000,-97.237,POINT (-97.237036 49.000453)
Skagway,Alaska,3103,US-Canada Border,2019,Personal Vehicles,11608,59.630,-135.164,POINT (-135.164444 59.629722)
Eastport,Idaho,3302,US-Canada Border,2019,Truck Containers Empty,1010,49.001,-116.181,POINT (-116.181027 49.000555)
Eagle Pass,Texas,2303,US-Mexico Border,2021,Bus Passengers,14918,28.705,-100.512,POINT (-100.511977 28.705483)
Roosville,Montana,3318,US-Canada Border,2020,Personal Vehicles,441,49.000,-115.056,POINT (-115.056027 48.999638)
Calais,Maine,0115,US-Canada Border,2021,Trains,18,45.189,-67.275,POINT (-67.275381 45.188548)
Blaine,Washington,3004,US-Canada Border,2020,Personal Vehicle Passengers,9785,48.994,-122.749,POINT (-122.748884 48.994045)
Rio Grande City,Texas,2307,US-Mexico Border,2019,Pedestrians,2547,26.366,-98.803,POINT (-98.802513 26.365761)
Noonan,North Dakota,3420,US-Canada Border,2020,Personal Vehicles,105,48.999,-103.004,POINT (-103.004361 48.999333)
Eagle Pass,Texas,2303,US-Mexico Border,2020,Truck Containers Empty,6172,28.705,-100.512,POINT (-100.511977 28.705483)
Jackman,Maine,0104,US-Canada Border,2022,Truck Containers Loaded,1970,45.806,-70.397,POINT (-70.396722 45.805661)
Kenneth G Ward,Washington,3023,US-Canada Border,2019,Pedestrians,63,49.002,-122.485,POINT (-122.485027 49.002277)
Tecate,California,2505,US-Mexico Border,2020,Trucks,5976,32.576,-116.626,POINT (-116.626216 32.576428)
Otay Mesa,California,2506,US-Mexico Border,2020,Trucks,56636,32.550,-116.939,POINT (-116.938538 32.55033)
Eagle Pass,Texas,2303,US-Mexico Border,2020,Buses,283,28.705,-100.512,POINT (-100.511977 28.705483)
Del Bonita,Montana,3322,US-Canada Border,2021,Truck Containers Loaded,39,48.999,-112.788,POINT (-112.78825 48.998555)
Opheim,Montana,3317,US-Canada Border,2020,Trucks,20,49.000,-106.378,POINT (-106.377583 48.999527)
Noonan,North Dakota,3420,US-Canada Border,2019,Personal Vehicles,1718,48.999,-103.004,POINT (-103.004361 48.999333)
Morgan,Montana,3319,US-Canada Border,2021,Personal Vehicle Passengers,125,49.000,-107.832,POINT (-107.831819 48.999829)
Calais,Maine,0115,US-Canada Border,2019,Buses,12,45.189,-67.275,POINT (-67.275381 45.188548)
Roseau,Minnesota,3426,US-Canada Border,2019,Truck Containers Empty,171,49.000,-95.766,POINT (-95.766469 48.999538)
Northgate,North Dakota,3406,US-Canada Border,2019,Trains,18,48.999,-102.275,POINT (-102.27475 48.998833)
Sumas,Washington,3009,US-Canada Border,2020,Pedestrians,33,49.002,-122.265,POINT (-122.264805 49.002388)
Pembina,North Dakota,3401,US-Canada Border,2022,Train Passengers,190,49.000,-97.237,POINT (-97.237036 49.000453)
Eastport,Idaho,3302,US-Canada Border,1999,Trucks,4335,49.001,-116.181,POINT (-116.181027 49.000555)
Fort Fairfield,Maine,0107,US-Canada Border,2022,Truck Containers Empty,594,46.765,-67.789,POINT (-67.789471 46.765323)
Calais,Maine,0115,US-Canada Border,2019,Train Passengers,18,45.189,-67.275,POINT (-67.275381 45.188548)
Morgan,Montana,3319,US-Canada Border,2022,Personal Vehicle Passengers,101,49.000,-107.832,POINT (-107.831819 48.999829)
Lukeville,Arizona,2602,US-Mexico Border,2020,Personal Vehicles,8917,31.880,-112.817,POINT (-112.817077 31.880195)
El Paso,Texas,2402,US-Mexico Border,2020,Bus Passengers,35547,31.764,-106.451,POINT (-106.451188 31.764363)
Calexico,California,2503,US-Mexico Border,2002,Buses,87,32.673,-115.388,POINT (-115.388018 32.673389)
Sumas,Washington,3009,US-Canada Border,2019,Bus Passengers,855,49.002,-122.265,POINT (-122.264805 49.002388)
Highgate Springs,Vermont,0212,US-Canada Border,2019,Trucks,8796,45.015,-73.085,POINT (-73.085037 45.015414)
Eagle Pass,Texas,2303,US-Mexico Border,2019,Rail Containers Loaded,12372,28.705,-100.512,POINT (-100.511977 28.705483)
Lukeville,Arizona,2602,US-Mexico Border,2020,Trucks,28,31.880,-112.817,POINT (-112.817077 31.880195)
Progreso,Texas,2309,US-Mexico Border,2021,Personal Vehicles,77518,26.062,-97.950,POINT (-97.949958 26.062133)
Buffalo Niagara Falls,New York,0901,US-Canada Border,2021,Personal Vehicles,77283,43.095,-79.056,POINT (-79.055847 43.09549)
Eagle Pass,Texas,2303,US-Mexico Border,2022,Pedestrians,53705,28.705,-100.512,POINT (-100.511977 28.705483)
Boundary,Washington,3015,US-Canada Border,2022,Trucks,6,49.001,-117.628,POINT (-117.627583 49.00075)
Columbus,New Mexico,2406,US-Mexico Border,2021,Truck Containers Empty,198,31.784,-107.628,POINT (-107.627948 31.783742)
Roosville,Montana,3318,US-Canada Border,2019,Truck Containers Empty,630,49.000,-115.056,POINT (-115.056027 48.999638)
Warroad,Minnesota,3423,US-Canada Border,2006,Trucks,977,48.999,-95.377,POINT (-95.376555 48.999)
Calexico East,California,2507,US-Mexico Border,2022,Truck Containers Loaded,19481,32.673,-115.388,POINT (-115.388018 32.673389)
Sumas,Washington,3009,US-Canada Border,2021,Personal Vehicle Passengers,8837,49.002,-122.265,POINT (-122.264805 49.002388)
Sumas,Washington,3009,US-Canada Border,2021,Personal Vehicles,3167,49.002,-122.265,POINT (-122.264805 49.002388)
Baudette,Minnesota,3424,US-Canada Border,2020,Pedestrians,5,48.719,-94.590,POINT (-94.590467 48.719109)
Dalton Cache,Alaska,3106,US-Canada Border,2020,Personal Vehicle Passengers,597,59.451,-136.362,POINT (-136.361944 59.450556)
Del Bonita,Montana,3322,US-Canada Border,2019,Truck Containers Empty,6,48.999,-112.788,POINT (-112.78825 48.998555)
Rio Grande City,Texas,2307,US-Mexico Border,2019,Personal Vehicles,31098,26.366,-98.803,POINT (-98.802513 26.365761)
Baudette,Minnesota,3424,US-Canada Border,2021,Personal Vehicle Passengers,1051,48.719,-94.590,POINT (-94.590467 48.719109)
Richford,Vermont,0203,US-Canada Border,2021,Personal Vehicle Passengers,2462,45.012,-72.589,POINT (-72.588559 45.01174)
Calexico East,California,2507,US-Mexico Border,2021,Personal Vehicle Passengers,375747,32.673,-115.388,POINT (-115.388018 32.673389)
Boundary,Washington,3015,US-Canada Border,2021,Train Passengers,101,49.001,-117.628,POINT (-117.627583 49.00075)
Scobey,Montana,3309,US-Canada Border,2003,Trucks,56,49.000,-105.408,POINT (-105.407638 48.999527)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2019,Personal Vehicles,47885,46.509,-84.361,POINT (-84.360833 46.508611)
Santa Teresa,New Mexico,2408,US-Mexico Border,2020,Truck Containers Loaded,5179,31.784,-106.679,POINT (-106.679437 31.783939)
Grand Portage,Minnesota,3613,US-Canada Border,2020,Personal Vehicle Passengers,430,48.001,-89.585,POINT (-89.58515 48.001427)
Buffalo Niagara Falls,New York,0901,US-Canada Border,2019,Pedestrians,38687,43.095,-79.056,POINT (-79.055847 43.09549)
Whitlash,Montana,3321,US-Canada Border,2020,Personal Vehicle Passengers,47,48.997,-111.258,POINT (-111.257916 48.99725)
Rio Grande City,Texas,2307,US-Mexico Border,2022,Personal Vehicles,34108,26.366,-98.803,POINT (-98.802513 26.365761)
Tornillo,Texas,2404,US-Mexico Border,2019,Pedestrians,3366,31.435,-106.143,POINT (-106.142669 31.435334)
Presidio,Texas,2403,US-Mexico Border,2019,Trucks,830,29.562,-104.395,POINT (-104.394907 29.561827)
Carbury,North Dakota,3421,US-Canada Border,2021,Personal Vehicles,76,48.999,-100.556,POINT (-100.555805 48.999416)
Kenneth G Ward,Washington,3023,US-Canada Border,2021,Personal Vehicles,10733,49.002,-122.485,POINT (-122.485027 49.002277)
Otay Mesa,California,2506,US-Mexico Border,2022,Personal Vehicles,459569,32.550,-116.939,POINT (-116.938538 32.55033)
El Paso,Texas,2402,US-Mexico Border,2019,Trucks,68236,31.764,-106.451,POINT (-106.451188 31.764363)
Pinecreek,Minnesota,3425,US-Canada Border,2019,Truck Containers Loaded,8,49.000,-95.978,POINT (-95.977694 48.999916)
Morgan,Montana,3319,US-Canada Border,2000,Pedestrians,0,49.000,-107.832,POINT (-107.831819 48.999829)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2022,Bus Passengers,336,46.509,-84.361,POINT (-84.360833 46.508611)
Alcan,Alaska,3104,US-Canada Border,2020,Personal Vehicle Passengers,1414,62.615,-141.001,POINT (-141.001444 62.614961)
Boundary,Washington,3015,US-Canada Border,2020,Personal Vehicle Passengers,158,49.001,-117.628,POINT (-117.627583 49.00075)
Port Huron,Michigan,3802,US-Canada Border,2021,Personal Vehicles,21843,42.999,-82.424,POINT (-82.423611 42.998611)
Presidio,Texas,2403,US-Mexico Border,2022,Pedestrians,12631,29.562,-104.395,POINT (-104.394907 29.561827)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020,Personal Vehicle Passengers,74661,46.509,-84.361,POINT (-84.360833 46.508611)
Naco,Arizona,2603,US-Mexico Border,2001,Buses,0,31.334,-109.948,POINT (-109.948413 31.334084)
Neche,North Dakota,3404,US-Canada Border,2022,Truck Containers Loaded,171,49.001,-97.557,POINT (-97.557333 49.000527)
Alcan,Alaska,3104,US-Canada Border,2014,Trucks,647,62.615,-141.001,POINT (-141.001444 62.614961)
Fort Kent,Maine,0110,US-Canada Border,2019,Truck Containers Empty,968,47.249,-68.604,POINT (-68.603918 47.249206)
Blaine,Washington,3004,US-Canada Border,2021,Personal Vehicle Passengers,21633,48.994,-122.749,POINT (-122.748884 48.994045)
Laurier,Washington,3016,US-Canada Border,2022,Trains,10,49.000,-118.224,POINT (-118.223777 49.000083)
San Luis,Arizona,2608,US-Mexico Border,2019,Bus Passengers,5,32.485,-114.782,POINT (-114.7822222 32.485)
Piegan,Montana,3316,US-Canada Border,2019,Trucks,116,48.998,-113.379,POINT (-113.378777 48.998083)
Lukeville,Arizona,2602,US-Mexico Border,2022,Pedestrians,6467,31.880,-112.817,POINT (-112.817077 31.880195)
Calexico East,California,2507,US-Mexico Border,2020,Personal Vehicles,94079,32.673,-115.388,POINT (-115.388018 32.673389)
Dalton Cache,Alaska,3106,US-Canada Border,2020,Trucks,71,59.451,-136.362,POINT (-136.361944 59.450556)
Grand Portage,Minnesota,3613,US-Canada Border,2019,Personal Vehicles,18806,48.001,-89.585,POINT (-89.58515 48.001427)
Trout River,New York,0715,US-Canada Border,2022,Rail Containers Loaded,2223,44.992,-74.308,POINT (-74.308172 44.992058)
Walhalla,North Dakota,3407,US-Canada Border,2021,Truck Containers Loaded,268,49.000,-97.908,POINT (-97.908416 49.000472)
San Ysidro,California,2504,US-Mexico Border,2021,Buses,1258,32.543,-117.029,POINT (-117.028761 32.542528)
Oroville,Washington,3019,US-Canada Border,2021,Personal Vehicle Passengers,701,49.000,-119.462,POINT (-119.461833 49.000083)
Blaine,Washington,3004,US-Canada Border,2020,Rail Containers Empty,6392,48.994,-122.749,POINT (-122.748884 48.994045)
Lukeville,Arizona,2602,US-Mexico Border,2021,Pedestrians,3976,31.880,-112.817,POINT (-112.817077 31.880195)
Maida,North Dakota,3416,US-Canada Border,2020,Personal Vehicle Passengers,68,49.000,-98.365,POINT (-98.36525 49.00025)
Metaline Falls,Washington,3025,US-Canada Border,2022,Truck Containers Loaded,8,49.000,-117.299,POINT (-117.299444 48.999972)
Alexandria Bay,New York,0708,US-Canada Border,2021,Trucks,16392,44.347,-75.984,POINT (-75.983592 44.347229)
Richford,Vermont,0203,US-Canada Border,2021,Rail Containers Loaded,48,45.012,-72.589,POINT (-72.588559 45.01174)
Sweetgrass,Montana,3310,US-Canada Border,2019,Personal Vehicles,12414,48.998,-111.960,POINT (-111.959611 48.998388)
El Paso,Texas,2402,US-Mexico Border,2021,Buses,624,31.764,-106.451,POINT (-106.451188 31.764363)
Hidalgo,Texas,2305,US-Mexico Border,2019,Personal Vehicle Passengers,601338,26.095,-98.271,POINT (-98.271092 26.095032)
Porthill,Idaho,3308,US-Canada Border,2021,Pedestrians,2,49.000,-116.499,POINT (-116.49925 48.999861)
Roma,Texas,2310,US-Mexico Border,2011,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Sherwood,North Dakota,3414,US-Canada Border,2020,Truck Containers Empty,384,48.999,-101.628,POINT (-101.627527 48.999305)
Norton,Vermont,0211,US-Canada Border,2021,Personal Vehicle Passengers,138,45.011,-71.793,POINT (-71.793219 45.010771)
Ysleta,Texas,2401,US-Mexico Border,2020,Truck Containers Loaded,36020,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Derby Line,Vermont,0209,US-Canada Border,2020,Personal Vehicle Passengers,3331,45.006,-72.099,POINT (-72.099279 45.005739)
Laurier,Washington,3016,US-Canada Border,2019,Trucks,589,49.000,-118.224,POINT (-118.223777 49.000083)
Piegan,Montana,3316,US-Canada Border,2022,Personal Vehicles,2434,48.998,-113.379,POINT (-113.378777 48.998083)
Sarles,North Dakota,3409,US-Canada Border,2022,Truck Containers Loaded,59,49.000,-98.938,POINT (-98.938361 49.000027)
Portal,North Dakota,3403,US-Canada Border,2019,Truck Containers Empty,1551,48.999,-102.552,POINT (-102.551944 48.998944)
Laredo,Texas,2304,US-Mexico Border,2021,Rail Containers Loaded,20475,27.500,-99.507,POINT (-99.507412 27.499561)
Roosville,Montana,3318,US-Canada Border,2020,Personal Vehicles,311,49.000,-115.056,POINT (-115.056027 48.999638)
Champlain Rouses Point,New York,0712,US-Canada Border,2020,Trains,53,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Noonan,North Dakota,3420,US-Canada Border,2022,Personal Vehicle Passengers,255,48.999,-103.004,POINT (-103.004361 48.999333)
Detroit,Michigan,3801,US-Canada Border,2019,Train Passengers,468,42.332,-83.048,POINT (-83.047924 42.331685)
Fortuna,North Dakota,3417,US-Canada Border,2022,Personal Vehicles,166,49.000,-103.809,POINT (-103.80925 48.999555)
Metaline Falls,Washington,3025,US-Canada Border,2020,Trucks,262,49.000,-117.299,POINT (-117.299444 48.999972)
Carbury,North Dakota,3421,US-Canada Border,2021,Personal Vehicles,78,48.999,-100.556,POINT (-100.555805 48.999416)
Eastport,Idaho,3302,US-Canada Border,2022,Rail Containers Empty,643,49.001,-116.181,POINT (-116.181027 49.000555)
Hansboro,North Dakota,3415,US-Canada Border,2020,Truck Containers Empty,15,49.000,-99.347,POINT (-99.346527 48.999583)
Richford,Vermont,0203,US-Canada Border,2021,Personal Vehicles,617,45.012,-72.589,POINT (-72.588559 45.01174)
Sherwood,North Dakota,3414,US-Canada Border,2021,Personal Vehicle Passengers,71,48.999,-101.628,POINT (-101.627527 48.999305)
Fort Fairfield,Maine,0107,US-Canada Border,2019,Trucks,380,46.765,-67.789,POINT (-67.789471 46.765323)
Tecate,California,2505,US-Mexico Border,2021,Personal Vehicles,38416,32.576,-116.626,POINT (-116.626216 32.576428)
Porthill,Idaho,3308,US-Canada Border,2020,Personal Vehicles,7848,49.000,-116.499,POINT (-116.49925 48.999861)
Nogales,Arizona,2604,US-Mexico Border,2022,Pedestrians,214434,31.333,-110.943,POINT (-110.942516 31.332839)
Antler,North Dakota,3413,US-Canada Border,2020,Truck Containers Loaded,16,48.999,-101.296,POINT (-101.296055 48.999472)
Pinecreek,Minnesota,3425,US-Canada Border,2021,Trucks,12,49.000,-95.978,POINT (-95.977694 48.999916)
Laurier,Washington,3016,US-Canada Border,2021,Truck Containers Empty,323,49.000,-118.224,POINT (-118.223777 49.000083)
Morgan,Montana,3319,US-Canada Border,2022,Trucks,23,49.000,-107.832,POINT (-107.831819 48.999829)
Buffalo Niagara Falls,New York,0901,US-Canada Border,2019,Truck Containers Loaded,62017,43.095,-79.056,POINT (-79.055847 43.09549)
Houlton,Maine,0106,US-Canada Border,2022,Personal Vehicles,2809,46.135,-67.781,POINT (-67.781288 46.134879)
Calais,Maine,0115,US-Canada Border,2022,Trucks,6175,45.189,-67.275,POINT (-67.275381 45.188548)
Madawaska,Maine,0109,US-Canada Border,2012,Buses,6,47.360,-68.329,POINT (-68.328684 47.360052)
Van Buren,Maine,0108,US-Canada Border,2020,Personal Vehicle Passengers,1005,47.160,-67.931,POINT (-67.930799 47.159645)
Champlain Rouses Point,New York,0712,US-Canada Border,2020,Rail Containers Empty,467,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Calais,Maine,0115,US-Canada Border,2022,Rail Containers Empty,164,45.189,-67.275,POINT (-67.275381 45.188548)
St John,North Dakota,3405,US-Canada Border,2021,Truck Containers Empty,33,48.999,-99.659,POINT (-99.659111 48.999277)
Columbus,New Mexico,2406,US-Mexico Border,2022,Truck Containers Loaded,1556,31.784,-107.628,POINT (-107.627948 31.783742)
Rio Grande City,Texas,2307,US-Mexico Border,2021,Personal Vehicles,24599,26.366,-98.803,POINT (-98.802513 26.365761)
Richford,Vermont,0203,US-Canada Border,2022,Personal Vehicles,701,45.012,-72.589,POINT (-72.588559 45.01174)
Sarles,North Dakota,3409,US-Canada Border,2019,Truck Containers Loaded,1,49.000,-98.938,POINT (-98.938361 49.000027)
Lukeville,Arizona,2602,US-Mexico Border,2021,Personal Vehicles,25135,31.880,-112.817,POINT (-112.817077 31.880195)
Calexico East,California,2507,US-Mexico Border,2021,Trucks,35890,32.673,-115.388,POINT (-115.388018 32.673389)
Frontier,Washington,3020,US-Canada Border,2021,Truck Containers Loaded,458,49.000,-117.832,POINT (-117.831527 49.0005)
Eastport,Maine,0103,US-Canada Border,2022,Trucks,130,44.859,-66.980,POINT (-66.98007566 44.8594395785)
Fortuna,North Dakota,3417,US-Canada Border,2022,Personal Vehicle Passengers,698,49.000,-103.809,POINT (-103.80925 48.999555)
International Falls,Minnesota,3604,US-Canada Border,2020,Trains,251,48.608,-93.401,POINT (-93.401355 48.6078)
Houlton,Maine,0106,US-Canada Border,2019,Personal Vehicles,16629,46.135,-67.781,POINT (-67.781288 46.134879)
Tecate,California,2505,US-Mexico Border,2021,Personal Vehicle Passengers,65162,32.576,-116.626,POINT (-116.626216 32.576428)
Neche,North Dakota,3404,US-Canada Border,2020,Truck Containers Empty,412,49.001,-97.557,POINT (-97.557333 49.000527)
Roma,Texas,2310,US-Mexico Border,2021,Pedestrians,23063,26.404,-99.019,POINT (-99.018981 26.403928)
Fortuna,North Dakota,3417,US-Canada Border,2021,Personal Vehicles,264,49.000,-103.809,POINT (-103.80925 48.999555)
Buffalo Niagara Falls,New York,0901,US-Canada Border,2019,Train Passengers,1310,43.095,-79.056,POINT (-79.055847 43.09549)
Highgate Springs,Vermont,0212,US-Canada Border,2022,Bus Passengers,2668,45.015,-73.085,POINT (-73.085037 45.015414)
Laurier,Washington,3016,US-Canada Border,2022,Trucks,587,49.000,-118.224,POINT (-118.223777 49.000083)
Carbury,North Dakota,3421,US-Canada Border,2021,Personal Vehicle Passengers,56,48.999,-100.556,POINT (-100.555805 48.999416)
Warroad,Minnesota,3423,US-Canada Border,2021,Personal Vehicles,1203,48.999,-95.377,POINT (-95.376555 48.999)
Oroville,Washington,3019,US-Canada Border,2020,Pedestrians,44,49.000,-119.462,POINT (-119.461833 49.000083)
Nogales,Arizona,2604,US-Mexico Border,2022,Personal Vehicles,291967,31.333,-110.943,POINT (-110.942516 31.332839)
Kenneth G Ward,Washington,3023,US-Canada Border,2019,Pedestrians,79,49.002,-122.485,POINT (-122.485027 49.002277)
St John,North Dakota,3405,US-Canada Border,2021,Personal Vehicle Passengers,290,48.999,-99.659,POINT (-99.659111 48.999277)
Otay Mesa,California,2506,US-Mexico Border,2020,Train Passengers,32,32.550,-116.939,POINT (-116.938538 32.55033)
Derby Line,Vermont,0209,US-Canada Border,2022,Truck Containers Empty,755,45.006,-72.099,POINT (-72.099279 45.005739)
Ogdensburg,New York,0701,US-Canada Border,2022,Personal Vehicle Passengers,35577,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Laredo,Texas,2304,US-Mexico Border,2019,Personal Vehicles,418410,27.500,-99.507,POINT (-99.507412 27.499561)
Brownsville,Texas,2301,US-Mexico Border,2021,Personal Vehicles,286580,25.952,-97.401,POINT (-97.40067 25.95155)
