Blaine,Washington,3004,US-Canada Border,2013,Buses,1817,48.994,-122.749,POINT (-122.748884 48.994045)
Del Rio,Texas,2302,US-Mexico Border,2014,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Lancaster,Minnesota,3430,US-Canada Border,2014,Pedestrians,0,49.000,-96.801,POINT (-96.800527 49.000194)
Presidio,Texas,2403,US-Mexico Border,2013,Buses,41,29.562,-104.395,POINT (-104.394907 29.561827)
Alcan,Alaska,3104,US-Canada Border,2013,Buses,1,62.615,-141.001,POINT (-141.001444 62.614961)
Sweetgrass,Montana,3310,US-Canada Border,2013,Trains,38,48.998,-111.960,POINT (-111.959611 48.998388)
Scobey,Montana,3309,US-Canada Border,2012,Pedestrians,0,49.000,-105.408,POINT (-105.407638 48.999527)
Calais,Maine,0115,US-Canada Border,2012,Trains,16,45.189,-67.275,POINT (-67.275381 45.188548)
Madawaska,Maine,0109,US-Canada Border,2013,Buses,7,47.360,-68.329,POINT (-68.328684 47.360052)
Scobey,Montana,3309,US-Canada Border,2013,Pedestrians,0,49.000,-105.408,POINT (-105.407638 48.999527)
Morgan,Montana,3319,US-Canada Border,2012,Buses,0,49.000,-107.832,POINT (-107.831819 48.999829)
Dunseith,North Dakota,3422,US-Canada Border,2014,Buses,7,48.999,-100.052,POINT (-100.052166 48.999277)
Blaine,Washington,3004,US-Canada Border,2013,Trucks,30366,48.994,-122.749,POINT (-122.748884 48.994045)
Roma,Texas,2310,US-Mexico Border,2013,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Calexico,California,2503,US-Mexico Border,2014,Buses,0,32.673,-115.388,POINT (-115.388018 32.673389)
Turner,Montana,3306,US-Canada Border,2012,Trains,0,49.000,-108.388,POINT (-108.387916 48.999527)
Columbus,New Mexico,2406,US-Mexico Border,2014,Trucks,482,31.784,-107.628,POINT (-107.627948 31.783742)
Antler,North Dakota,3413,US-Canada Border,2013,Buses,0,48.999,-101.296,POINT (-101.296055 48.999472)
Norton,Vermont,0211,US-Canada Border,2013,Pedestrians,0,45.011,-71.793,POINT (-71.793219 45.010771)
Ferry,Washington,3013,US-Canada Border,2013,Buses,0,49.000,-118.761,POINT (-118.761166 49.000083)
Calais,Maine,0115,US-Canada Border,2012,Trucks,7050,45.189,-67.275,POINT (-67.275381 45.188548)
Calais,Maine,0115,US-Canada Border,2014,Trains,17,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,2011,Bus Passengers,604,26.404,-99.019,POINT (-99.018981 26.403928)
Madawaska,Maine,0109,US-Canada Border,2010,Trucks,1951,47.360,-68.329,POINT (-68.328684 47.360052)
Del Rio,Texas,2302,US-Mexico Border,2011,Train Passengers,0,29.327,-100.928,POINT (-100.927612 29.326784)
Warroad,Minnesota,3423,US-Canada Border,2011,Bus Passengers,447,48.999,-95.377,POINT (-95.376555 48.999)
Calais,Maine,0115,US-Canada Border,2011,Trucks,5443,45.189,-67.275,POINT (-67.275381 45.188548)
Alcan,Alaska,3104,US-Canada Border,2014,Personal Vehicles,751,62.615,-141.001,POINT (-141.001444 62.614961)
Turner,Montana,3306,US-Canada Border,2011,Pedestrians,0,49.000,-108.388,POINT (-108.387916 48.999527)
Porthill,Idaho,3308,US-Canada Border,2011,Trucks,898,49.000,-116.499,POINT (-116.49925 48.999861)
Piegan,Montana,3316,US-Canada Border,2010,Trucks,138,48.998,-113.379,POINT (-113.378777 48.998083)
Calais,Maine,0115,US-Canada Border,2011,Buses,33,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,2011,Buses,28,26.404,-99.019,POINT (-99.018981 26.403928)
Eagle Pass,Texas,2303,US-Mexico Border,2010,Trucks,8277,28.705,-100.512,POINT (-100.511977 28.705483)
Sweetgrass,Montana,3310,US-Canada Border,2010,Trucks,10618,48.998,-111.960,POINT (-111.959611 48.998388)
Progreso,Texas,2309,US-Mexico Border,2010,Trains,0,26.062,-97.950,POINT (-97.949958 26.062133)
Roma,Texas,2310,US-Mexico Border,2011,Buses,27,26.404,-99.019,POINT (-99.018981 26.403928)
Wildhorse,Montana,3323,US-Canada Border,2012,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Wildhorse,Montana,3323,US-Canada Border,2012,Trucks,20,48.999,-110.215,POINT (-110.215083 48.999361)
Nogales,Arizona,2604,US-Mexico Border,2011,Buses,760,31.333,-110.943,POINT (-110.942516 31.332839)
Wildhorse,Montana,3323,US-Canada Border,2011,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Metaline Falls,Washington,3025,US-Canada Border,2011,Trains,0,49.000,-117.299,POINT (-117.299444 48.999972)
Roma,Texas,2310,US-Mexico Border,2011,Buses,33,26.404,-99.019,POINT (-99.018981 26.403928)
Wildhorse,Montana,3323,US-Canada Border,2012,Pedestrians,0,48.999,-110.215,POINT (-110.215083 48.999361)
Alcan,Alaska,3104,US-Canada Border,2012,Buses,0,62.615,-141.001,POINT (-141.001444 62.614961)
Del Bonita,Montana,3322,US-Canada Border,2011,Pedestrians,0,48.999,-112.788,POINT (-112.78825 48.998555)
Morgan,Montana,3319,US-Canada Border,2011,Train Passengers,0,49.000,-107.832,POINT (-107.831819 48.999829)
